Id,mass,width,height,label
1,160,7.1,7.6,2
2,194,7.2,10.3,3
3,154,7.2,7.2,2
4,154,7,7.1,1
5,162,7.4,7.2,1
6,164,7.2,7,2
7,154,7.1,7.5,2
8,116,6.1,8.5,3
9,170,7.6,7.9,1
10,116,5.9,8.1,3
11,144,6.8,7.4,2
12,160,7.5,7.5,1
13,166,6.9,7.3,1
14,142,7.6,7.8,2
15,156,7.4,7.4,1
16,116,6,7.5,3
17,356,9.2,9.2,2
18,152,6.5,8.5,3
19,164,7.3,7.7,1
20,162,7.5,7.1,1
21,158,7.1,7.5,2
22,140,7.3,7.1,1
23,186,7.2,9.2,3
24,174,7.3,10.1,3
25,180,8,6.8,1
26,168,7.5,7.6,1
27,216,7.3,10.2,3
28,160,7,7.4,2
29,172,7.1,7.6,1
30,140,6.7,7.1,2
31,180,7.6,8.2,2
32,362,9.6,9.2,2
33,342,9,9.4,2
34,152,7.6,7.3,1
35,200,7.3,10.5,3
36,116,6.3,7.7,3
37,178,7.1,7.8,1
38,192,8.4,7.3,1
39,118,5.9,8,3
40,132,5.8,8.7,3
